Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:54897537	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-18	2015-08-18			59.8234	17.6141	646560	6634635	EPSG:4326	100	Uppsala, Norby, Upl	Uppsala	Uppsala	Uppsala	Uppland	Bert Gustafsson							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54881347	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-05	2015-06-05	15:00	17:00	58.86426	14.87633	492867	6524944	EPSG:4326	334	Dohnaforsåns NV strand, Nrk	Askersund	Askersund	Örebro	Närke	Billy Lindblom	2	2	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54789442	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-10	2015-08-10	14:15	14:30	60.50773	15.46822	525715	6708049	EPSG:4326	100	Bergebo slalombacke, Dlr	Borlänge	Borlänge	Dalarna	Dalarna	Håkan Sandin	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:53923855	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-13	2015-06-13			65.43384	21.50995	801574	7272411	EPSG:4326	150	Maran, Nb	Norrfjärden	Piteå	Norrbotten	Norrbotten	Tommy Bystedt	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54583996	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-07-27	2015-07-27			56.65629	16.1537	570728	6279722	EPSG:4326	250	Krankelösa, Sm	Ljungby	Kalmar	Kalmar	Småland	Mats Lindeborg							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54835250	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-14	2015-08-14	11:40	11:50	59.19354	18.05397	674433	6565597	EPSG:4326	25	Dansbanevägen 7, Vidja, Srm	Huddinge	Huddinge	Stockholm	Södermanland	Lennart Didrik	2	2					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54789688	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-09	2015-08-09	16:45	21:45	60.51689	15.72207	539645	6709196	EPSG:4326	681	Kyrkbytjärn, Kyrkbytjärn, Vika, Dlr	Vika	Falun	Dalarna	Dalarna	Per Gustafsson, Jenny Sander	1	1					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54773174	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-06	2015-08-06			56.58537	16.63509	600425	6272429	EPSG:4326	1000	Norra Sandby, Öl	Sandby	Mörbylånga	Kalmar	Öland	Andreas Grabs							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:54799790	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-06-16	2015-08-03	13:15	14:00	57.6994	12.05176	324307	6399066	EPSG:4326	100	Brudarebacken, Vg	Göteborg	Göteborg	Västra Götaland	Västergötland	Björn Larsson	1	1		imago/adult		friflygande	Ovaliderad	False	False	False	Göteborgs Stads artdata	Artportalen	False	False
urn:lsid:artportalen.se:sighting:54757570	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2015-08-08	2015-08-08	08:40	09:45	58.17461	13.9393	437610	6448641	EPSG:4326	250	Marbodals våtmark, Vg	Tidaholm	Tidaholm	Västra Götaland	Västergötland	Magnus Hallgren	1	1	ex.	imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
