Id,Artnamn,Vetenskapligt namn,Antal,Ålder-Stadium,Kön,Aktivitet,Ost,Nord,Startdatum,Slutdatum,Publik kommentar,Biotop-beskrivning
124875384,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1409050,6410660,2025-05-01,2025-05-01,"Soligt 100 +20 C, Vind 4 m/s SV",
126710373,Rovfjäril,Pieris rapae,7,imago/adult, ,födosökande,1409050,6410660,2025-07-14,2025-07-14,"Soligt 95 +27 C, Vind 1 m/s NO",på lavendel
126187902,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1409050,6410660,2025-06-14,2025-06-14,"Soligt 100 +26 C, Vind 1 m/s SV",
127621634,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1289899,6467022,2025-08-16,2025-08-16,,
127002486,Rovfjäril,Pieris rapae,noterad,imago/adult, , ,1628361,6603208,2025-07-29,2025-07-29,,
128401081,Rovfjäril,Pieris rapae,1,imago/adult, , ,1627340,6593415,2025-09-12,2025-09-12,,
128671696,Rovfjäril,Pieris rapae,1,imago/adult, , ,1536532,6238049,2025-09-24,2025-09-24,,
128671957,Rovfjäril,Pieris rapae,1,imago/adult, , ,1540188,6234564,2025-09-24,2025-09-24,,
127371611,Rovfjäril,Pieris rapae,1,imago/adult, , ,1633176,6607079,2025-08-10,2025-08-10,,
126984764,Rovfjäril,Pieris rapae,2,imago/adult, , ,1646748,6606749,2025-07-28,2025-07-28,,
128408767,Rovfjäril,Pieris rapae,1,imago/adult, , ,1632239,6604823,2025-09-13,2025-09-13,,
128411935,Rovfjäril,Pieris rapae,1, , ,friflygande,1468975,6572974,2025-09-13,2025-09-13,,
127297368,Rovfjäril,Pieris rapae,2, , ,äggläggande,1464697,6571930,2025-08-07,2025-08-07,,
126859840,Rovfjäril,Pieris rapae,3, , ,friflygande,1471482,6551030,2025-07-23,2025-07-23,,
126859867,Rovfjäril,Pieris rapae,2, , ,friflygande,1473394,6551113,2025-07-23,2025-07-23,,
127672557,Rovfjäril,Pieris rapae,noterad, , , ,1464697,6571930,2025-08-18,2025-08-18,,
126941778,Rovfjäril,Pieris rapae,1, , , ,1444546,6578196,2025-07-26,2025-07-26,,
127297336,Rovfjäril,Pieris rapae,noterad, , ,födosökande,1462639,6572357,2025-08-07,2025-08-07,,
126785063,Rovfjäril,Pieris rapae,1, , ,friflygande,1448206,6583175,2025-07-19,2025-07-19,,
126966757,Rovfjäril,Pieris rapae,1, , , ,1464697,6571930,2025-07-27,2025-07-27,,
126814235,Rovfjäril,Pieris rapae,1, , ,friflygande,1469629,6575456,2025-07-21,2025-07-21,,
128317985,Rovfjäril,Pieris rapae,3, , ,friflygande,1462639,6572357,2025-09-07,2025-09-07,,
123737176,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1336431,6178067,2025-04-03,2025-04-03,"I vårblommor på solvarm dammvall i norra delen av trädgården. +15 grader, sol, svag sydvästvind.. ",
126316560,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1336431,6178067,2025-06-30,2025-06-30,"I buskbryn i östra delen av trädgården. +17 grader, sol, måttlig västvind. ",
124631262,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1336431,6178067,2025-05-01,2025-05-01,"På blad och örter vid stenpartiet i centrala delen av trädgården. +15 grader, sol, måttlig västvind.",
124528329,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1336431,6178067,2025-04-28,2025-04-28,"I lövgläntor i södra delen av trädgården. +10 grader, sol, måttlig sydvind. ",
126200209,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1336431,6178067,2025-06-25,2025-06-25,"Vid rabatter vid husvägg i sydvästra delen av trädgården. +14 grader, mulet med solglimtar, måttlig västvind. ",
127478203,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1336431,6178067,2025-08-14,2025-08-14,"I blomsterrabatter i centrala delen av trädgården. +23 grader, sol, måttlig sydostvind. ",
127657437,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1336431,6178067,2025-08-16,2025-08-16,"I rabatter i östra delen av trädgården. +18 grader, sol, måttlig sydostvind.",
124805607,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1336431,6178067,2025-05-06,2025-05-06,"På ramslöksblommor i plantering i fruktträdspartiet i nordvästra delen av trädgården. +11 grader, sol, måttlig väst vind. ",
125803939,Rovfjäril,Pieris rapae,1, ,hona, ,1650561,6580654,2025-06-08,2025-06-08,,
126959737,Rovfjäril,Pieris rapae,18,imago/adult, ,friflygande,1656494,6653789,2025-07-27,2025-07-27,,
126760336,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1538543,6325324,2025-07-19,2025-07-19,,
127402161,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1600946,6637024,2025-08-10,2025-08-10,På syrenbuddleja.,
128590640,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1343022,6192872,2025-09-20,2025-09-20,,
127623998,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1600946,6637024,2025-08-14,2025-08-14,På syrenbuddleja.,
127395452,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1600504,6637508,2025-08-08,2025-08-08,,
126982922,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1602533,6633607,2025-07-28,2025-07-28,,
126936394,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1599658,6673057,2025-07-26,2025-07-26,,
127129695,Rovfjäril,Pieris rapae,2,imago/adult, ,födosökande,1600946,6637024,2025-08-02,2025-08-02,,
127526767,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1601001,6637026,2025-08-12,2025-08-12,På syrenbuddleja.,
127416831,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1601001,6637026,2025-08-11,2025-08-11,På syrenbuddleja.,
127402017,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1600708,6637096,2025-08-10,2025-08-10,,
127678678,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1597678,6638642,2025-08-18,2025-08-18,,
127416731,Rovfjäril,Pieris rapae,2,imago/adult, ,födosökande,1600892,6637021,2025-08-11,2025-08-11,På syrenbuddleja.,
129637509,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1589067,6618745,2025-07-21,2025-07-21,"temperatur - 29 °C, molnighet - mest klart, vindstyrka - 3 (små kvistar rör sig), vindriktning - nordost, % solsken - 90 %",
129639472,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1596182,6527259,2025-07-18,2025-07-18,"temperatur - 25 °C, molnighet - mest klart, vindstyrka - 3 (små kvistar rör sig), vindriktning - syddost, % solsken - 90 %",
129637645,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1633798,6606281,2025-07-21,2025-07-21,"temperatur - 27 °C, molnighet - mest klart, vindstyrka - 3 (små kvistar rör sig), vindriktning - ost, % solsken - 90 %",
129639609,Rovfjäril,Pieris rapae,3,imago/adult,,friflygande,1633132,6542788,2025-07-17,2025-07-17,"temperatur - 26 °C, molnighet - klart, vindstyrka - 3 (små kvistar rör sig), vindriktning - nordost, % solsken - 100 %",
129637526,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1589067,6618745,2025-07-10,2025-07-10,"temperatur - 23 °C, molnighet - klart, vindstyrka - 2 (små löv rör sig), vindriktning - nordost, % solsken - 100 %",
127403705,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1469254,6568026,2025-08-11,2025-08-11,,
127421574,Rovfjäril,Pieris rapae,3,imago/adult, ,födosökande,1468873,6571623,2025-08-12,2025-08-12,,
127106118,Rovfjäril,Pieris rapae,3,imago/adult, ,födosökande,1468873,6571623,2025-08-02,2025-08-02,,
127316433,Rovfjäril,Pieris rapae,2,imago/adult,,födosökande,1468873,6571623,2025-08-08,2025-08-08,,
125369668,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1469010,6571576,2025-05-24,2025-05-24,,
125504646,Rovfjäril,Pieris rapae,1,imago/adult,hane,friflygande,1468873,6571623,2025-05-29,2025-05-29,,
128595530,Rovfjäril,Pieris rapae,1,imago/adult,,födosökande,1469122,6571830,2025-09-21,2025-09-21,,
127272628,Rovfjäril,Pieris rapae,1,imago/adult,,födosökande,1468857,6571600,2025-08-06,2025-08-06,,
127479141,Rovfjäril,Pieris rapae,2,imago/adult, ,födosökande,1469254,6568026,2025-08-14,2025-08-14,,
128576614,Rovfjäril,Pieris rapae,noterad,imago/adult, ,friflygande,1307443,6294246,2025-09-20,2025-09-20,,
124750212,Rovfjäril,Pieris rapae,1,imago/adult, ,vilande,1269162,6407842,2025-05-04,2025-05-04,,
125074740,Rovfjäril,Pieris rapae,2,imago/adult, , ,1269162,6407842,2025-05-14,2025-05-14,,
127025640,Rovfjäril,Pieris rapae,1,imago/adult, , ,1260835,6439901,2025-07-30,2025-07-30,,
126916327,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1260835,6439901,2025-07-25,2025-07-25,,
126986025,Rovfjäril,Pieris rapae,1,imago/adult, , ,1260315,6439259,2025-07-28,2025-07-28,,
126986287,Rovfjäril,Pieris rapae,1,imago/adult, , ,1260777,6439756,2025-07-28,2025-07-28,,
127025515,Rovfjäril,Pieris rapae,1,imago/adult, , ,1260835,6439901,2025-07-29,2025-07-29,,
125769868,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1268709,6408926,2025-06-07,2025-06-07,,
126753510,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1385922,6462367,2025-07-18,2025-07-18,,
126846486,Rovfjäril,Pieris rapae,3,imago/adult, ,födosökande,1387676,6466557,2025-07-21,2025-07-21,,
126688289,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1382180,6522190,2025-07-13,2025-07-13,,
127402241,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1387676,6466557,2025-08-10,2025-08-10,,
128627629,Rovfjäril,Pieris rapae,2,imago/adult, ,födosökande,1385000,6501400,2025-09-22,2025-09-22,,
127652221,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1387676,6466557,2025-08-17,2025-08-17,,
126748925,Rovfjäril,Pieris rapae,5, , , ,1278470,6462080,2025-07-18,2025-07-18,,
126749041,Rovfjäril,Pieris rapae,4, , , ,1278954,6461211,2025-07-18,2025-07-18,,
126640598,Rovfjäril,Pieris rapae,5, , , ,1278952,6476378,2025-07-13,2025-07-13,,
127100067,Rovfjäril,Pieris rapae,2, , , ,1278952,6476378,2025-07-31,2025-07-31,,
125104502,Rovfjäril,Pieris rapae,1,,,,1625719,6578370,2025-05-15,2025-05-15,,
128219039,Rovfjäril,Pieris rapae,4,,,,1646257,6558825,2025-09-04,2025-09-04,,
128695974,Rovfjäril,Pieris rapae,3,,,,1611736,6538052,2025-09-25,2025-09-25,,
125029571,Rovfjäril,Pieris rapae,noterad,imago/adult, ,friflygande,1323767,6286721,2025-05-11,2025-05-11,,
127455461,Rovfjäril,Pieris rapae,noterad,imago/adult, ,friflygande,1309017,6298500,2025-08-13,2025-08-13,,
127378032,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1524060,6619266,2025-08-10,2025-08-10,,
127378126,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1523960,6619271,2025-08-10,2025-08-10,,
126381155,Rovfjäril,Pieris rapae,1, , , ,1373790,6228620,2025-07-02,2025-07-02,,
127635908,Rovfjäril,Pieris rapae,25, , , ,1372591,6232491,2025-08-16,2025-08-16,,
128697677,Rovfjäril,Pieris rapae,1, , , ,1373790,6228620,2025-09-20,2025-09-20,,
128418094,Rovfjäril,Pieris rapae,1, , , ,1373790,6228620,2025-09-10,2025-09-10,,
129209121,Rovfjäril,Pieris rapae,1, , , ,1370505,6220498,2025-09-07,2025-09-07,,
127397831,Rovfjäril,Pieris rapae,2, , , ,1361110,6152160,2025-07-20,2025-07-20,,
127410402,Rovfjäril,Pieris rapae,2,,,,1391119,6143199,2025-07-17,2025-07-17,,
128910337,Rovfjäril,Pieris rapae,2, , , ,1363101,6167717,2025-09-12,2025-09-12,,
127396500,Rovfjäril,Pieris rapae,1, , , ,1355927,6162871,2025-07-15,2025-07-15,,
128212129,Rovfjäril,Pieris rapae,4, , , ,1355927,6162871,2025-08-30,2025-08-30,,
128911305,Rovfjäril,Pieris rapae,3, , , ,1355927,6162871,2025-09-01,2025-09-01,,
127398679,Rovfjäril,Pieris rapae,2,,,,1364849,6167560,2025-07-22,2025-07-22,,
127397793,Rovfjäril,Pieris rapae,3, , , ,1355927,6162871,2025-07-20,2025-07-20,,
127397535,Rovfjäril,Pieris rapae,30, , , ,1355927,6162871,2025-07-27,2025-07-27,,
127397512,Rovfjäril,Pieris rapae,1, , , ,1355927,6162871,2025-07-27,2025-07-27,,
126316346,Rovfjäril,Pieris rapae,3,imago/adult, , ,1318594,6157242,2025-06-30,2025-06-30,,
125773614,Rovfjäril,Pieris rapae,1,imago/adult, , ,1347583,6154151,2025-06-07,2025-06-07,,
126576274,Rovfjäril,Pieris rapae,1, , ,friflygande,1355351,6176369,2025-07-10,2025-07-10,,
126953942,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1399001,6305723,2025-07-27,2025-07-27,,
128322034,Rovfjäril,Pieris rapae,10,imago/adult, ,friflygande,1318710,6144610,2025-09-07,2025-09-07,,
127011320,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1416043,6210249,2025-07-29,2025-07-29,,
127836769,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1384437,6299341,2025-08-26,2025-08-26,,
126751541,Rovfjäril,Pieris rapae,4,imago/adult, ,friflygande,1400836,6302960,2025-07-18,2025-07-18,,
127324421,Rovfjäril,Pieris rapae,7,imago/adult, ,friflygande,1400836,6302960,2025-08-08,2025-08-08,,
126681184,Rovfjäril,Pieris rapae,1, , ,friflygande,1397725,6366315,2025-07-15,2025-07-15,,
127324594,Rovfjäril,Pieris rapae,3,imago/adult, ,friflygande,1385145,6306150,2025-08-08,2025-08-08,,
128189743,Rovfjäril,Pieris rapae,3,imago/adult, ,friflygande,1389602,6293947,2025-09-03,2025-09-03,,
126985923,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1386330,6305241,2025-07-28,2025-07-28,,
126790191,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1395312,6308554,2025-07-20,2025-07-20,,
125078850,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1387266,6304462,2025-05-14,2025-05-14,,
126543783,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1393868,6305370,2025-07-09,2025-07-09,,
127766435,Rovfjäril,Pieris rapae,12,imago/adult, ,friflygande,1385233,6303552,2025-08-23,2025-08-23,,
128213744,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1389602,6293947,2025-09-04,2025-09-04,,
127451299,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1384437,6299341,2025-08-13,2025-08-13,,
126408292,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1393868,6305370,2025-07-04,2025-07-04,,
127348382,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1385233,6303552,2025-08-09,2025-08-09,,
128082815,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1385233,6303552,2025-08-30,2025-08-30,,
126789565,Rovfjäril,Pieris rapae,22,imago/adult, ,friflygande,1400836,6302960,2025-07-20,2025-07-20,,
127451441,Rovfjäril,Pieris rapae,4,imago/adult, ,friflygande,1400836,6302960,2025-08-13,2025-08-13,,
128564429,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1389602,6293947,2025-09-20,2025-09-20,,
128393481,Rovfjäril,Pieris rapae,10,imago/adult, ,friflygande,1385233,6303552,2025-09-12,2025-09-12,,
128189903,Rovfjäril,Pieris rapae,15,imago/adult, ,friflygande,1385233,6303552,2025-09-03,2025-09-03,,
126814511,Rovfjäril,Pieris rapae,7,imago/adult, ,friflygande,1400836,6302960,2025-07-21,2025-07-21,,
127687407,Rovfjäril,Pieris rapae,3,imago/adult, ,friflygande,1389602,6293947,2025-08-19,2025-08-19,,
127724218,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1389602,6293947,2025-08-21,2025-08-21,,
128418029,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1385233,6303552,2025-09-13,2025-09-13,,
127766399,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1389602,6293947,2025-08-23,2025-08-23,,
127133115,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1553649,6423985,2025-07-30,2025-07-30,,
127132948,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1558933,6429469,2025-08-01,2025-08-01,,
127133653,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1556816,6416619,2025-07-09,2025-07-09,,
127133226,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1556391,6416878,2025-07-30,2025-07-30,,
127132971,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1549856,6427387,2025-07-30,2025-07-30,,
127132909,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1553465,6425610,2025-07-30,2025-07-30,,
127133097,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1551326,6426758,2025-07-30,2025-07-30,,
127133273,Rovfjäril,Pieris rapae,5,imago/adult,,friflygande,1552269,6435149,2025-07-28,2025-07-28,,
127133733,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1551423,6434359,2025-07-09,2025-07-09,,
127133139,Rovfjäril,Pieris rapae,2,imago/adult,,friflygande,1553732,6424282,2025-07-30,2025-07-30,,
