Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:96127636	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-11	2021-07-11	10:30	10:30	57.1466	18.32516	701155	6338611	EPSG:4326	200	Västra märgelgraven, Gtl	Havdhem	Gotland	Gotland	Gotland	Mikke Brännström, Ewa Thelen	1	1	ex.	imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:96124079	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-09-14	2021-09-14			55.52385	12.917	368506	6155058	EPSG:4326	150	Fabriken, Klagshamns udde, Sk	Västra Klagstorp	Malmö	Skåne	Skåne	Jörgen Fromark	1	1					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:96100650	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-09-14	2021-09-14	12:30	13:00	55.38123	13.14189	382277	6138787	EPSG:4326	400	Kattebäcksvägen 24, Trelleborg, Sk	Trelleborg	Trelleborg	Skåne	Skåne	Lars Sundlöf	2	2		imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:96126509	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-09-15	2021-09-15			57.79502	18.73621	722037	6412019	EPSG:4326	200	Uppegårds, Myren, Vestninge, Gtl	Lärbro	Gotland	Gotland	Gotland	Mats Engqvist							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95648132	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-22	2021-08-22			58.987	18.12383	679497	6542800	EPSG:4326	750	Arbottna, Srm	Muskö	Haninge	Stockholm	Södermanland	Tuomo Kolehmainen	2	2		imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:97690184	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-23	2021-07-23			55.61442	13.47197	403758	6164226	EPSG:4326	25	Enehusa, Sk	Veberöd	Lund	Skåne	Skåne	Rolf Spångberg	5	5					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:97793551	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-07-15	2021-07-15			56.70647	16.50846	592352	6285728	EPSG:4326	150	Aledal, Öl	Glömminge	Mörbylånga	Kalmar	Öland	Roine Strandberg				imago/adult			Ovaliderad	False	False	False	Biogeografisk uppföljning av fjärilar	Artportalen	False	False
urn:lsid:artportalen.se:sighting:96343023	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-09-26	2021-09-26			57.12309	12.22008	331711	6334518	EPSG:4326	2000	Getterön, Hl	Varberg	Varberg	Halland	Halland	Bo Brinkhoff	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95650094	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-22	2021-08-22			57.14795	12.45835	346234	6336721	EPSG:4326	109	Gunnevi IP, Hl	Rolfstorp	Varberg	Halland	Halland	David Andersson	2	2		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95658277	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-22	2021-08-22			59.19878	17.75088	657104	6565427	EPSG:4326	100	Salem, vattentornet, Srm	Salem	Salem	Stockholm	Södermanland	Magnus Persson	1	1		imago/adult	hane		Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95610839	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-20	2021-08-20			56.13404	13.04536	378525	6222718	EPSG:4326	100	Badhusvägen,, Kvidinge, Sk	Kvidinge	Åstorp	Skåne	Skåne	Kent Ivarsson						födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:95622992	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2021-08-21	2021-08-21	16:00	16:30	55.38123	13.14189	382277	6138787	EPSG:4326	400	Kattebäcksvägen 24, Trelleborg, Sk	Trelleborg	Trelleborg	Skåne	Skåne	Lars Sundlöf	1	1				födosökande	Ovaliderad	False	False	False		Artportalen	False	False
